,timestamp,target
214,2018-08-03,76.0
215,2018-08-04,100.0
216,2018-08-05,195.0
217,2018-08-06,207.0
218,2018-08-07,140.0
219,2018-08-08,124.0
220,2018-08-09,156.0
221,2018-08-10,180.0
222,2018-08-11,128.0
223,2018-08-12,46.0
224,2018-08-13,105.0
225,2018-08-14,168.0
226,2018-08-15,96.0
227,2018-08-16,0.0
228,2018-08-17,194.0
229,2018-08-18,204.0
230,2018-08-19,206.0
231,2018-08-20,213.0
232,2018-08-21,225.0
233,2018-08-22,195.0
234,2018-08-23,215.0
235,2018-08-24,82.0
236,2018-08-25,189.0
237,2018-08-26,159.0
238,2018-08-27,114.0
239,2018-08-28,188.0
240,2018-08-29,174.0
241,2018-08-30,166.0
242,2018-08-31,92.0
243,2018-09-01,113.0
244,2018-09-02,165.0
245,2018-09-03,139.0
246,2018-09-04,137.0
247,2018-09-05,127.0
248,2018-09-06,212.0
249,2018-09-07,221.0
250,2018-09-08,121.0
251,2018-09-09,17.0
252,2018-09-10,18.0
253,2018-09-11,41.0
254,2018-09-12,23.0
255,2018-09-13,37.0
256,2018-09-14,32.0
257,2018-09-15,71.0
258,2018-09-16,72.0
259,2018-09-17,67.0
260,2018-09-18,56.0
261,2018-09-19,95.0
262,2018-09-20,81.0
263,2018-09-21,108.0
264,2018-09-22,1.0
265,2018-09-23,30.0
266,2018-09-24,7.0
267,2018-09-25,9.0
268,2018-09-26,39.0
269,2018-09-27,13.0
270,2018-09-28,29.0
271,2018-09-29,26.0
272,2018-09-30,42.0
273,2018-10-01,72.0
274,2018-10-02,37.0
275,2018-10-03,21.0
276,2018-10-04,23.0
277,2018-10-05,49.0
278,2018-10-06,60.0
279,2018-10-07,2.0
280,2018-10-08,37.0
281,2018-10-09,28.0
282,2018-10-10,64.0
283,2018-10-11,78.0
284,2018-10-12,26.0
285,2018-10-13,26.0
286,2018-10-14,27.0
287,2018-10-15,61.0
288,2018-10-16,22.0
289,2018-10-17,33.0
290,2018-10-18,22.0
